step,success
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
295,1.0
